,pos,name,cat1,cat2,x,y,url,id
123,1.123,Reservistenkameradschaft Moers im Verband der Reservisten der Deutschen Bundeswehr e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/3456A19033D6E713C125724900488CC2,123
124,1.124,Rock' n Roll-Club 22/11 Moers e.V.,"['--ALLE--', 'Sportvereine']","[""Rock' n-Roll"", 'Boogie Woogie']",51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/5AF2138D03071AFBC125724900488C8C,124
125,1.125,Sängerkreis Moers,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.4270082,6.6005421,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/63FB8262769067D9C125724900488C52,125
126,1.126,Sammlergilde Repelen von 1956,"['--ALLE--', 'Sonstige Vereine']",,51.4909121,6.6128928,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/4C9151272814B76BC125724900488CB4,126
127,1.127,Sangeslust Meerbeck 1909,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.4621325,6.644182,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/BEC2A77A6FE5726BC125724900488C53,127
128,1.128,Satori-Kan Moers e.V.,"['--ALLE--', 'Sportvereine']","['Asiatische Kampfkunst', 'Karate']",51.44846,6.64643,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/C69F4E28F553372EC125724900488C8D,128
129,1.129,SC Blau-Weiß Moers 1969 e.V.,"['--ALLE--', 'Sportvereine']",Schwimmen,51.45988,6.66748,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/30585ACDFDFC6567C125724900488C8E,129
130,1.130,Schachfreunde Moers 1959 e.V.,"['--ALLE--', 'Sportvereine']",Schach,51.4421,6.65883,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/7CEB9A89AF9A334CC125724900488C8F,130
131,1.131,Schießverein Schwafheim 1902 e.V.,"['--ALLE--', 'Sportvereine']","['Schießen', 'Bogenschießen']",51.4253579,6.6523689,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/EB207FC3F905BEB8C125724900488C90,131
132,1.132,Schiffsmodellbauclub Grafschaft Moers 1975 e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.42243,6.65956,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/B997BEB63F2D5BD5C125724900488CB5,132
