,name,stadt,stoff,einheit,jahr_2014,jahr_2015,typ,gebiet,x,y,id,ueberschritten,change
119,Mülheim Kölner Straße (B1),Mülheim,Stickstoffdioxid,µg/m³,42.8621,39.3507,Verkehr,vorstädtisches Gebiet,6.863392,51.368083,119,False,-3.5113999999999947
96,Münster Weseler Straße,Münster,Stickstoffdioxid,µg/m³,39.3455,38.9064,Verkehr,städtisches Gebiet,7.619387,51.953267,96,False,-0.4391000000000034
66,Hamm Münsterstraße,Hamm,Stickstoffdioxid,µg/m³,40.9083,38.7434,Verkehr,städtisches Gebiet,7.809711,51.689266,66,False,-2.164899999999996
33,Dortmund Steinstraße,Dortmund,Stickstoffdioxid,µg/m³,39.4701,38.7078,Verkehr,städtisches Gebiet,7.464347,51.519639,33,False,-0.7623000000000033
35,Duisburg Kardinal-Galen-Straße,Duisburg,Stickstoffdioxid,µg/m³,39.6556,38.7056,Verkehr,städtisches Gebiet,6.771801,51.437708,35,False,-0.9500000000000028
84,Bönen Bönener Straße,Bönen,Stickstoffdioxid,µg/m³,42.8484,38.176,Verkehr,städtisches Gebiet,7.750195,51.61074,84,False,-4.672399999999996
103,Siegen Frankfurter Straße,Siegen,Stickstoffdioxid,µg/m³,39.4575,38.0456,Verkehr,städtisches Gebiet,8.026075,50.870851,103,False,-1.4119000000000028
131,Siegen Sandstraße 18,Siegen,Stickstoffdioxid,µg/m³,37.9198,38.0078,Verkehr,städtisches Gebiet,8.02382,50.875539,131,False,0.08800000000000097
92,Krefeld Oranierring,Krefeld,Stickstoffdioxid,µg/m³,42.1809,37.8464,Verkehr,städtisches Gebiet,6.553999,51.340374,92,False,-4.3344999999999985
150,Bottrop Peterstraße 9,Bottrop,Stickstoffdioxid,µg/m³,,37.7425,Verkehr,städtisches Gebiet,6.924361,51.519167,150,False,
13,Essen-Ost Steeler Straße,Essen,Stickstoffdioxid,µg/m³,39.6062,37.7245,Verkehr,städtisches Gebiet,7.030603,51.451177,13,False,-1.8817000000000021
101,Münster Steinfurter Straße 11,Münster,Stickstoffdioxid,µg/m³,38.323,37.6803,Verkehr,städtisches Gebiet,7.613536,51.968324,101,False,-0.6426999999999978
142,Düsseldorf Südring,Düsseldorf,Stickstoffdioxid,µg/m³,,37.544,Verkehr,städtisches Gebiet,6.45683,51.12031,142,False,
115,Recklinghausen Bochumer Straße,Recklinghausen,Stickstoffdioxid,µg/m³,41.2341,37.4148,Verkehr,städtisches Gebiet,7.213339,51.577208,115,False,-3.8192999999999984
